Psyche 	154 37 332 72
Media 	350 37 517 71
Inc.	530 37 625 71
ΝΟ	64 147 120 165
. 	128 147 132 164
0123456	157 147 324 164
BILLED 	61 242 146 252
TO	156 242 182 252
MR	64 270 110 285
. 	115 270 119 284
JAMES 	139 270 251 284
HOLDEN	268 270 404 284
(	61 300 74 309
229	68 300 100 309
) 	98 300 107 309
467-2095	108 300 187 309
j.holden@mail.com	59 316 214 326
21 	60 332 86 342
Lexington 	86 332 164 341
Rd	171 332 193 341
, 	193 332 196 341
Warsaw	202 332 267 341
, 	265 332 269 341
NY	277 332 301 341
PAYMENT 	65 385 171 395
DETAILS	182 385 277 394
PSYCHE 	66 414 197 429
MEDIA 	215 414 321 428
INC	338 414 392 428
.	399 414 403 428
Account 	61 444 127 454
Name	130 444 177 453
: 	177 444 183 453
Psyche 	190 444 246 453
Media 	250 444 301 453
Inc.	306 444 335 453
Account 	60 460 130 469
Number	130 460 195 468
: 	193 460 198 468
139-4944-3	206 460 295 468
Bank	61 476 103 485
: 	100 476 108 484
Executive 	113 476 191 484
Bank	197 476 236 484
ISSUED 	65 529 146 539
ON	157 529 186 539
18 	62 548 90 557
SEPTEMBER 	99 548 235 557
2002	246 548 297 557
DESCRIPTION	61 601 201 609
RATE	390 601 445 609
HOUR	515 600 574 609
PRICE	641 601 704 609
Website 	60 645 137 657
design	142 645 200 657
$	386 645 401 654
20.00	397 645 452 654
100	513 646 549 654
$	641 646 653 654
2,000.00	649 646 730 654
Logo 	62 665 108 676
design	110 665 173 676
$	387 666 403 674
10.00	396 666 450 674
75	513 665 539 674
$	639 665 654 673
750.00	651 665 715 673
Branding	60 685 147 697
$	387 684 403 693
40.00	394 684 452 693
100	513 684 549 693
$	641 685 654 694
4,000.00	647 684 729 693
Marketing 	60 705 152 715
Collaterals	154 705 254 715
$	387 705 401 712
15.00	397 705 449 712
75	515 706 537 712
$	639 705 652 713
1,125.00	644 705 731 713
Event 	61 724 120 734
Mock	118 724 170 734
-	168 724 173 734
ups	173 724 207 734
$	387 723 403 732
15.00	399 723 453 732
75	513 723 537 731
$	641 724 653 732
1,125.00	648 724 730 732
Thank 	56 883 190 936
you	191 883 272 936
!	273 883 289 936
TOTAL 	442 772 508 781
AMOUNT	517 772 603 781
$	639 771 653 780
9,000	648 771 702 780
TAX 	498 793 540 804
(	545 793 554 804
10	554 793 579 804
%	579 793 594 804
)	595 793 603 804
$	641 792 654 799
900	648 792 686 799
AMOUNT 	465 813 552 821
DUE	562 813 602 821
$	639 812 654 821
9,900	648 811 704 820

THE 	211 59 336 96
FOURTH 	357 59 617 95
WAY	636 59 790 95
COMMERCIAL	328 117 510 130
EXPORTER	91 235 248 251
La 	90 268 117 282
Morte 	127 268 196 282
Company	207 268 301 282
1054 	88 290 144 300
Green 	156 290 221 300
Acres 	232 290 299 300
Road	312 290 362 300
Elizabeth 	89 311 207 325
City	222 311 273 325
, 	277 311 280 325
NC	301 311 326 325
CONSIGNEE	93 365 260 380
Morgan 	88 397 170 409
Meriones	180 397 285 409
1330 	89 418 144 429
Abner 	154 418 221 429
Road	232 418 285 429
Superior	90 439 197 454
, 	197 439 204 453
WI 	220 439 243 453
54880	259 439 323 453
INVOICE	537 117 661 129
WEIGHT	96 507 193 520
QTY	268 506 317 520
DESCRIPTION	389 507 549 520
PRICE	836 507 908 520
2Kg	96 574 134 585
01	265 573 292 583
Delphine 	389 570 499 585
Limited 	508 570 602 585
Bag	615 570 653 585
$	860 572 875 585
200	872 572 909 585
10Kg	96 612 147 624
10	265 612 292 622
Nibe 	390 611 444 622
Shoes	458 611 522 622
$	847 611 863 623
1500	856 611 910 623
5Kg	96 651 137 663
01	265 651 292 661
Porcelain	389 650 508 661
$	861 650 875 663
200	872 650 909 663
TOTAL 	104 725 177 737
AMOUNT	187 725 288 737
$	833 724 850 737
1900	848 724 913 737
INVOICE 	761 238 880 254
#	887 238 906 254
9000-100	801 270 906 282
DATE	827 403 908 419
01/01/18	799 436 906 447
Accdg	102 811 170 825
. 	172 811 177 825
to 	190 811 221 825
Wikipedia	231 811 351 825
, 	355 811 360 825
It 	380 811 404 825
is 	419 811 443 825
used 	455 811 507 825
as 	521 811 546 825
a 	560 811 571 825
customs 	585 811 675 825
declaration	690 811 832 825
provided 	103 831 209 846
by 	220 831 248 846
the 	261 831 299 846
person 	313 831 390 846
or 	403 831 429 846
corporation 	443 831 584 846
that 	599 831 649 846
is 	666 831 690 846
exporting 	702 831 819 846
an	832 831 857 846
item 	105 853 156 864
across 	170 853 246 864
international 	263 853 425 864
borders	440 853 532 864
.	539 853 544 864
Signature 	113 943 219 956
of 	230 943 255 955
Authorized 	265 943 381 955
Person	392 943 460 955
Date	793 945 843 954

RED 	122 122 261 165
BOXX	279 122 499 164
DIGITAL 	123 186 235 200
DESIGN 	246 186 352 199
AGENCY	363 186 479 199
INVOICE 	688 124 790 136
NO	799 124 833 136
. 	838 124 842 136
01	850 124 874 136
45 	642 144 672 156
W. 	681 144 709 156
LINCOLN 	721 144 823 156
ST	836 144 863 156
.	862 144 867 156
MORGANTON	664 162 826 178
, 	828 162 832 177
NC	843 162 875 177
MR	115 308 177 327
. 	177 308 185 327
FRANCO 	200 308 350 327
SMITH	365 308 476 327
993 	118 348 159 359
Pawnee 	167 348 254 359
Ave.	258 348 308 359
New 	117 366 171 380
Port 	177 366 226 380
Richey	231 366 307 380
,	307 366 312 380
FL 	119 385 146 396
34653	149 385 216 396
DESCRIPTION	113 461 311 478
QTY	438 461 510 480
PRICE	602 463 688 477
TOTAL	770 463 867 478
LOGO 	125 541 183 550
DESIGN	193 541 275 550
01	458 542 483 551
500.00	603 542 680 550
500.00	794 542 872 550
FLYER 	127 569 191 579
DESIGN	201 569 283 578
01	458 571 484 580
160.99	605 570 678 580
160.99	801 570 874 579
WEB 	123 598 172 609
DESIGN	182 598 263 608
01	458 601 484 610
150.00	604 599 678 609
150.00	798 600 874 609
TOTAL	584 699 673 709
:	671 699 682 709
810.99	780 698 874 709
JEROME 	120 832 224 844
MATTHEWS	235 832 376 844
1011 	119 849 167 861
9341 	177 849 230 861
9831	244 849 295 861
WWW.REDBOXX.COM	118 865 387 878

P	64 806 83 821
/	83 806 96 821
K	98 806 120 821
782 	40 871 93 882
W 	74 871 98 882
Hillside 	99 871 164 882
Ave.	163 871 206 882
Ontario	42 886 108 898
, 	107 886 110 897
CA 	115 886 141 897
88212	144 886 197 897
782 	41 919 86 929
289 	78 919 110 928
2773	114 919 156 928
hello@peachkitchen.co	42 934 229 947
www.peachkitchen.co	40 951 219 963
Peach 	351 81 535 117
Kitchen	554 81 794 117
No. 	347 139 381 152
8834	387 139 445 152
-	444 139 453 152
B1 	453 139 479 152
Date	505 139 555 152
: 	555 139 560 152
01 	565 139 594 152
08 	599 139 627 152
20	633 139 661 152
Billed 	369 249 418 260
to 	421 249 439 260
MAXWELL 	454 249 575 260
JAMES 	584 249 659 260
HOLMES	668 249 767 260
784 	452 273 489 284
Newport 	491 273 564 284
